Holder,Shares,Date Reported,% Out,Value,ABV
"Advisors Asset Management, Inc.",190750,2021-09-29,0.0344,2731540,NBW
First Foundation Advisors,135404,2021-09-29,0.024399999999999998,1938985,NBW
"Rivernorth Capital Management, Llc",128241,2021-09-29,0.0231,1836411,NBW
Wells Fargo & Company,128205,2021-09-29,0.0231,1835895,NBW
"Kestra Advisory Services, LLC",91834,2021-09-29,0.0165,1315062,NBW
Vivaldi Capital Management Lp,89588,2021-09-29,0.0161,1282900,NBW
Matisse Capital,65100,2021-09-29,0.011699999999999999,932232,NBW
UBS Group AG,56386,2021-09-29,0.0102,807447,NBW
"Hennion & Walsh Asset Management, Inc.",51861,2021-09-29,0.009300000000000001,742649,NBW
Morgan Stanley,46389,2021-09-29,0.0084,664290,NBW
