Holder,Shares,Date Reported,% Out,Value,ABV
"Highbridge Capital Management, LLC.",1054038,2021-09-29,0.0876,10550920,NLIT
"Saba Capital Management, L.P.",954139,2021-09-29,0.0793,9550931,NLIT
Karpus Management Inc,943300,2021-09-29,0.0784,9442433,NLIT
Shaolin Capital Management LLC,924100,2021-09-29,0.0768,9250241,NLIT
"Boothbay Fund Management, LLC",900000,2021-09-29,0.0748,9009000,NLIT
Polar Asset Management Partners Inc.,900000,2021-09-29,0.0748,9009000,NLIT
ATW Spac Management LLC,900000,2021-09-29,0.0748,9009000,NLIT
Citadel Advisors LLC,750000,2021-09-29,0.062400000000000004,7507500,NLIT
Hudson Bay Capital Management Lp,650000,2021-09-29,0.054000000000000006,6506500,NLIT
"Shaw D.E. & Co., Inc.",407804,2021-09-29,0.0339,4082118,NLIT
