0,1,ABV
Net Assets,,SOJC
NAV,,SOJC
PE Ratio (TTM),,SOJC
Yield,,SOJC
YTD Daily Total Return,,SOJC
Beta (5Y Monthly),,SOJC
Expense Ratio (net),,SOJC
Inception Date,,SOJC
