Holder,Shares,Date Reported,% Out,Value,ABV
"Castle Creek Arbitrage, LLC",2780000,2021-09-29,0.0782,27661000,BTAQ
Magnetar Financial LLC,2364110,2021-09-29,0.0665,23522894,BTAQ
Linden Advisors LP,1963981,2021-09-29,0.0552,19541610,BTAQ
Glazer Capital LLC,1817423,2021-09-29,0.051100000000000007,18083358,BTAQ
"Shaw D.E. & Co., Inc.",1805546,2021-09-29,0.0508,17965182,BTAQ
Blackstone Inc,1400000,2021-09-29,0.0394,13930000,BTAQ
Berkley W R Corp,1208964,2021-09-29,0.034,12029191,BTAQ
"Westchester Capital Management, LLC",1175971,2021-09-29,0.0331,11700911,BTAQ
Citadel Advisors LLC,971237,2021-09-29,0.0273,9663808,BTAQ
"Basso Capital Management, L.P.",856784,2021-09-29,0.0241,8525000,BTAQ
