Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,16672676,2021-09-29,0.17309999999999998,288020477,BBBY
"FMR, LLC",13865371,2021-09-29,0.1439,239524284,BBBY
"Vanguard Group, Inc. (The)",11452966,2021-09-29,0.1189,197849987,BBBY
Morgan Stanley,4871455,2021-09-29,0.0506,84154385,BBBY
Dimensional Fund Advisors LP,3788025,2021-09-29,0.0393,65438131,BBBY
State Street Corporation,3713192,2021-09-29,0.0385,64145391,BBBY
Allianz Asset Management GmbH,3707663,2021-09-29,0.0385,64049878,BBBY
Brown Advisory Inc.,2830673,2021-12-30,0.0294,41271212,BBBY
"Arrowstreet Capital, Limited Partnership",2681300,2021-09-29,0.0278,46319457,BBBY
Contrarius Investment Management Limited,2471396,2021-09-29,0.025699999999999997,42693365,BBBY
