Holder,Shares,Date Reported,% Out,Value,ABV
"Saba Capital Management, L.P.",235761,2021-09-29,0.10800000000000001,7494842,SRV
Morgan Stanley,134153,2021-09-29,0.061399999999999996,4264723,SRV
"Rivernorth Capital Management, Llc",50415,2021-09-29,0.0231,1602692,SRV
Matisse Capital,44005,2021-09-29,0.0202,1398918,SRV
"1607 Capital Partners, LLC",42281,2021-09-29,0.0194,1344112,SRV
SIT Investment Associates Inc,31168,2021-09-29,0.0143,990830,SRV
"Bulldog Investors, LLC",28351,2021-09-29,0.013000000000000001,901278,SRV
Royal Bank of Canada,27884,2021-09-29,0.0128,886432,SRV
"Private Advisor Group, LLC",25450,2021-09-29,0.011699999999999999,809055,SRV
Invesco Ltd.,22898,2021-09-29,0.0105,727927,SRV
