Holder,Shares,Date Reported,% Out,Value,ABV
Dimensional Fund Advisors LP,873537,2021-09-29,0.0693,22292664,PKOH
Gamco Investors Inc,812221,2021-09-29,0.0645,20727879,PKOH
"FMR, LLC",773323,2021-09-29,0.061399999999999996,19735202,PKOH
"Private Management Group, Inc.",692664,2021-09-29,0.055,17676785,PKOH
Blackrock Inc.,532892,2021-09-29,0.042300000000000004,13599403,PKOH
"Gabelli Funds, LLC",436000,2021-09-29,0.0346,11126720,PKOH
"Vanguard Group, Inc. (The)",416862,2021-09-29,0.0331,10638318,PKOH
Royce & Associates LP,375005,2021-09-29,0.0298,9570127,PKOH
Lsv Asset Management,301987,2021-09-29,0.024,7706708,PKOH
"Teton Advisors, Inc",187047,2021-09-29,0.0148,4773439,PKOH
