Holder,Shares,Date Reported,% Out,Value,ABV
Hardman Johnston Global Advisors LLC,21310139,2021-09-29,0.0447,218215823,MLCO
Capital World Investors,21052773,2021-09-29,0.0441,215580395,MLCO
"ARGA Investment Management, LP",16866364,2021-09-29,0.0353,172711567,MLCO
"Eminence Capital, LP",12751870,2021-09-29,0.026699999999999998,130579148,MLCO
Blackrock Inc.,10881811,2021-09-29,0.022799999999999997,111429744,MLCO
Capital Research Global Investors,10032203,2021-09-29,0.021,102729758,MLCO
Nuveen Asset Management,9819832,2021-09-29,0.0206,100555079,MLCO
"Long Pond Capital, LP",9055522,2021-09-29,0.019,92728545,MLCO
Coronation Fund Managers Ltd.,7086432,2021-09-29,0.0148,72565063,MLCO
State Street Corporation,5707900,2021-09-29,0.012,58448896,MLCO
