Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",5338966,2021-09-29,0.1364,311849004,WLL
"Vanguard Group, Inc. (The)",3877217,2021-09-29,0.09910000000000001,226468244,WLL
"Wellington Management Group, LLP",2737521,2021-09-29,0.07,159898601,WLL
Blackrock Inc.,2696534,2021-09-29,0.0689,157504550,WLL
Boston Partners,1669915,2021-09-29,0.042699999999999995,97539735,WLL
State Street Corporation,1641485,2021-09-29,0.04190000000000001,95879138,WLL
JP Morgan Chase & Company,1390718,2021-09-29,0.0355,81231838,WLL
Wells Fargo & Company,1081278,2021-09-29,0.0276,63157447,WLL
"Sourcerock Group, LLC",1044284,2021-09-29,0.026699999999999998,60996628,WLL
Victory Capital Management Inc.,941034,2021-09-29,0.024,54965795,WLL
