Holder,Shares,Date Reported,% Out,Value,ABV
Cohen & Steers Inc.,445252,2021-09-29,0.0196,4586095,EHI
Invesco Ltd.,358343,2021-09-29,0.0158,3690932,EHI
Morgan Stanley,329081,2021-09-29,0.014499999999999999,3389534,EHI
"Shaker Financial Services, LLC",300918,2021-09-29,0.013300000000000001,3099455,EHI
LPL Financial LLC,268175,2021-09-29,0.0118,2762202,EHI
Mid Atlantic Financial Management Inc.,128146,2021-09-29,0.005600000000000001,1319903,EHI
"Advisors Asset Management, Inc.",89554,2021-09-29,0.0039000000000000003,922406,EHI
UBS Group AG,73827,2021-09-29,0.0033,760418,EHI
SIT Investment Associates Inc,69484,2021-09-29,0.0031,715685,EHI
"Guggenheim Capital, LLC",68835,2021-09-29,0.003,709000,EHI
