Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,6532776,2021-09-29,0.15539999999999998,527260350,MATX
"Vanguard Group, Inc. (The)",4574088,2021-09-29,0.10880000000000001,369174642,MATX
ArrowMark Colorado Holdings LLC,4348688,2021-09-29,0.1035,350982608,MATX
Price (T.Rowe) Associates Inc,2342190,2021-09-29,0.0557,189038154,MATX
Fuller & Thaler Asset Management Inc.,2156048,2021-09-29,0.0513,174014634,MATX
Dimensional Fund Advisors LP,2075315,2021-09-29,0.049400000000000006,167498673,MATX
Capital Research Global Investors,1982674,2021-09-29,0.0472,160021618,MATX
State Street Corporation,1400058,2021-09-29,0.0333,112998681,MATX
"Geode Capital Management, LLC",721165,2021-09-29,0.0172,58205227,MATX
Bank Of New York Mellon Corporation,632887,2021-09-29,0.0151,51080309,MATX
