0,1,ABV
Net Assets,,ASGI
NAV,,ASGI
PE Ratio (TTM),,ASGI
Yield,,ASGI
YTD Daily Total Return,,ASGI
Beta (5Y Monthly),,ASGI
Expense Ratio (net),,ASGI
Inception Date,,ASGI
