Holder,Shares,Date Reported,% Out,Value,ABV
"Flagship Harbor Advisors, LLC",592657,2021-12-30,0.0202,5748772,PHT
UBS Group AG,451079,2021-12-30,0.0154,4375466,PHT
"Guggenheim Capital, LLC",344920,2021-12-30,0.0118,3345724,PHT
Invesco Ltd.,306323,2021-12-30,0.0105,2971333,PHT
"Vident Investment Advisory, LLC",167922,2021-12-30,0.005699999999999999,1628843,PHT
"Capital Investment Advisors, LLC",163293,2021-12-30,0.005600000000000001,1583942,PHT
Wells Fargo & Company,144025,2021-12-30,0.0049,1397042,PHT
Cohen & Steers Inc.,118245,2021-12-30,0.004,1146976,PHT
"Shaker Financial Services, LLC",85734,2021-12-30,0.0029,831619,PHT
Bank of America Corporation,65574,2021-12-30,0.0022,636067,PHT
