Holder,Shares,Date Reported,% Out,Value,ABV
Wells Fargo & Company,6210481,2021-09-29,0.0909,50677524,GHG
"Federated Hermes, Inc.",1000000,2021-09-29,0.0146,8160000,GHG
"Westwood Global Investments, LLC",973508,2021-09-29,0.0143,7943825,GHG
"Renaissance Technologies, LLC",483904,2021-09-29,0.0070999999999999995,3948656,GHG
Ontario Teachers' Pension Plan Board,335260,2021-09-29,0.0049,2735721,GHG
Oasis Management Co Ltd,291129,2021-09-29,0.0043,2375612,GHG
Marshall Wace LLP,233052,2021-09-29,0.0034000000000000002,1901704,GHG
Blackrock Inc.,206655,2021-09-29,0.003,1686304,GHG
"ClearBridge Investments, LLC",172790,2021-09-29,0.0025,1409966,GHG
State of New Jersey Common Pension Fund D,96000,2021-09-29,0.0014000000000000002,783360,GHG
