Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,4038374,2021-09-29,0.0931,576235586,FRPT
"Vanguard Group, Inc. (The)",3801864,2021-09-29,0.0876,542487974,FRPT
Capital Research Global Investors,2955841,2021-09-29,0.0681,421768952,FRPT
Price (T.Rowe) Associates Inc,2856485,2021-09-29,0.0658,407591844,FRPT
Wasatch Advisors Inc,2217416,2021-09-29,0.051100000000000007,316403089,FRPT
"Gilder, Gagnon, Howe & Co.",1630054,2021-09-29,0.037599999999999995,232592405,FRPT
Victory Capital Management Inc.,1483731,2021-09-29,0.0342,211713576,FRPT
"AllianceBernstein, L.P.",1231163,2021-09-29,0.028399999999999998,175674648,FRPT
"Franklin Resources, Inc.",1202104,2021-09-29,0.0277,171528219,FRPT
JP Morgan Chase & Company,940035,2021-09-29,0.0217,134133594,FRPT
