Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",3760126,2021-09-29,0.0949,88926979,NTST
Blackrock Inc.,2766321,2021-09-29,0.0698,65423491,NTST
Tilden Park Management I LLC,2284809,2021-09-29,0.057699999999999994,54035732,NTST
"Long Pond Capital, LP",2249561,2021-09-29,0.056799999999999996,53202117,NTST
Morgan Stanley,2124536,2021-09-29,0.0536,50245276,NTST
"AllianceBernstein, L.P.",2085823,2021-09-29,0.0526,49329713,NTST
Deutsche Bank Aktiengesellschaft,1789543,2021-09-29,0.0452,42322691,NTST
"Weiss Multi-Strategy Advisers, LLC",1775131,2021-09-29,0.044800000000000006,41981848,NTST
"Heitman Real Estate Securities, LLC.",1633207,2021-09-29,0.0412,38625345,NTST
Invesco Ltd.,1464177,2021-09-29,0.037000000000000005,34627786,NTST
