Holder,Shares,Date Reported,% Out,Value,ABV
"Sabby Management, LLC",72700,2021-09-29,0.0059,442743,MITC
UBS Group AG,55812,2021-09-29,0.0045000000000000005,339895,MITC
Phoenix Holdings Ltd.,28921,2021-09-29,0.0024,176128,MITC
Wells Fargo & Company,15000,2021-09-29,0.0012,91350,MITC
Virtu Financial LLC,10105,2021-09-29,0.0008,61539,MITC
Migdal Insurance & Financial Holdings Ltd.,3103,2021-09-29,0.0003,18897,MITC
1832 Asset Management L.P.,2018,2021-09-29,0.0002,12289,MITC
