Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,1162454,2021-12-30,0.1134,97111407,HCI
"Vanguard Group, Inc. (The)",456886,2021-09-29,0.0446,50609262,HCI
Dimensional Fund Advisors LP,371135,2021-12-30,0.0362,31004617,HCI
Park West Asset Management LLC,323291,2021-09-29,0.0315,35810944,HCI
Hood River Capital Management LLC,250808,2021-09-29,0.0245,27782002,HCI
"Point72 Asset Management, L.P.",218643,2021-09-29,0.0213,24219085,HCI
State Street Corporation,192873,2021-09-29,0.018799999999999997,21364542,HCI
"Renaissance Technologies, LLC",176519,2021-12-30,0.0172,14746397,HCI
"FMR, LLC",137024,2021-09-29,0.0134,15178148,HCI
Summit Partners Public Asset Management LLC,136663,2021-09-29,0.013300000000000001,15138160,HCI
