Holder,Shares,Date Reported,% Out,Value,ABV
"Bramshill Investments, Llc",5861523,2021-09-29,0.0481,71510580,HYT
Eaton Vance Management,4400035,2021-09-29,0.0361,53680427,HYT
"Guggenheim Capital, LLC",3529204,2021-09-29,0.028999999999999998,43056288,HYT
Morgan Stanley,2772167,2021-09-29,0.0227,33820437,HYT
Invesco Ltd.,1347766,2021-09-29,0.0111,16442745,HYT
"McGowan Group Asset Management, Inc.",1095581,2021-09-29,0.009000000000000001,13366088,HYT
"Oak Hill Advisors, L.P.",1025602,2021-09-29,0.0084,12512344,HYT
UBS Group AG,847189,2021-09-29,0.0069,10335705,HYT
Cohen & Steers Inc.,750196,2021-09-29,0.0062,9152391,HYT
Penserra Capital Management LLC,680307,2021-09-29,0.005600000000000001,8299745,HYT
