Holder,Shares,Date Reported,% Out,Value,ABV
iShares Preferred & Income Securities ETF,672150,2021-10-30,0.084,17690988,FULTP
First Trust Preferred Securities & Income ETF,521873,2021-10-30,0.0652,13735697,FULTP
Principal Spectrum & Capital Securities Income Fd,450381,2021-08-30,0.056299999999999996,12160287,FULTP
Invesco ETF Tr II-Invesco Preferred ETF,438342,2021-09-29,0.0548,11721265,FULTP
John Hancock Premium Dividend Fund,197400,2021-10-30,0.024700000000000003,5195568,FULTP
Nuveen Preferred Securities Income Fund,150000,2021-08-30,0.018799999999999997,4050000,FULTP
Nuveen Investment Trust V-Nuveen Preferred Securities & Income Fd,150000,2021-10-30,0.018799999999999997,3948000,FULTP
Cohen & Steers Tax-Advantage Preferred Securities & Income Fund,149579,2021-10-30,0.0187,3936919,FULTP
John Hancock Preferred Income Fund III,149500,2021-10-30,0.0187,3934840,FULTP
John Hancock Preferred Income Fund,140075,2021-10-30,0.0175,3686774,FULTP
