Holder,Shares,Date Reported,% Out,Value,ABV
"Cornerstone Advisory, LLC",466477,2021-09-29,0.020499999999999997,11568629,JPI
SIT Investment Associates Inc,377506,2021-09-29,0.0166,9362148,JPI
Morgan Stanley,350439,2021-09-29,0.0154,8690887,JPI
Royal Bank of Canada,260334,2021-09-29,0.011399999999999999,6456283,JPI
Cohen & Steers Inc.,229936,2021-09-29,0.0101,5702412,JPI
Wells Fargo & Company,188282,2021-09-29,0.0083,4669393,JPI
"Raymond James & Associates, Inc.",179889,2021-09-29,0.0079,4461247,JPI
UBS Group AG,137172,2021-09-29,0.006,3401865,JPI
Truist Financial Corp,110028,2021-09-29,0.0048,2728694,JPI
Chicago Partners Investment Group LLC,87086,2021-09-29,0.0038,2159732,JPI
