Holder,Shares,Date Reported,% Out,Value,ABV
Parametric Portfolio Associates,668436,2021-09-29,0.0429,10561288,AFT
Wells Fargo & Company,565112,2021-09-29,0.0363,8928769,AFT
"Resources Investment Advisors, Inc.",431104,2021-09-29,0.0277,6811443,AFT
"Guggenheim Capital, LLC",399560,2021-09-29,0.025699999999999997,6313048,AFT
SIT Investment Associates Inc,388543,2021-09-29,0.024900000000000002,6138979,AFT
"Next Capital Management, LLC",306946,2021-09-29,0.0197,4849746,AFT
"Advisors Asset Management, Inc.",296285,2021-09-29,0.019,4681303,AFT
Cohen & Steers Inc.,272637,2021-09-29,0.0175,4307664,AFT
Morgan Stanley,254060,2021-09-29,0.0163,4014148,AFT
LPL Financial LLC,200677,2021-09-29,0.0129,3170696,AFT
