Holder,Shares,Date Reported,% Out,Value,ABV
Bank of America Corporation,280477,2021-12-30,0.0163,4866275,BKN
"Hennion & Walsh Asset Management, Inc.",211566,2021-12-30,0.0123,3670670,BKN
"Guggenheim Capital, LLC",191075,2021-12-30,0.0111,3315151,BKN
Morgan Stanley,160850,2021-12-30,0.009399999999999999,2790747,BKN
Truist Financial Corp,160185,2021-12-30,0.009300000000000001,2779209,BKN
UBS Group AG,143297,2021-12-30,0.0083,2486202,BKN
LPL Financial LLC,110414,2021-12-30,0.0064,1915682,BKN
"Advisor Group, Inc.",107244,2021-12-30,0.0062,1860683,BKN
"Stratos Wealth Partners, Ltd.",68402,2021-12-30,0.004,1186774,BKN
"Geneva Partners, LLC",58810,2021-12-30,0.0034000000000000002,1020353,BKN
