Holder,Shares,Date Reported,% Out,Value,ABV
"Banc Funds Company, L.L.C. (The)",636295,2021-09-29,0.0771,15264717,MNSB
EJF Capital LLC,563006,2021-09-29,0.0682,13506513,MNSB
"Vanguard Group, Inc. (The)",338835,2021-09-29,0.041100000000000005,8128651,MNSB
"Wellington Management Group, LLP",290999,2021-09-29,0.0353,6981066,MNSB
"AllianceBernstein, L.P.",289040,2021-09-29,0.035,6934069,MNSB
First Manhattan Company,261389,2021-09-29,0.0317,6270722,MNSB
Fourthstone LLC,96492,2021-09-29,0.011699999999999999,2314843,MNSB
"Jacobs Asset Management, L.L.C.",75358,2021-09-29,0.0091,1807838,MNSB
"Cutler Capital Management, LLC",50000,2021-09-29,0.0060999999999999995,1199500,MNSB
"Geode Capital Management, LLC",49400,2021-09-29,0.006,1185106,MNSB
