Holder,Shares,Date Reported,% Out,Value,ABV
"First Bancorp, Inc/ME/",741576,2021-09-29,0.0675,21609524,FNLC
Blackrock Inc.,720366,2021-09-29,0.06559999999999999,20991465,FNLC
"Vanguard Group, Inc. (The)",513304,2021-09-29,0.0467,14957678,FNLC
Dimensional Fund Advisors LP,451033,2021-09-29,0.041100000000000005,13143101,FNLC
Manufacturers Life Insurance Co.,420903,2021-09-29,0.0383,12265113,FNLC
State Street Corporation,196172,2021-09-29,0.0179,5716452,FNLC
"Geode Capital Management, LLC",167166,2021-09-29,0.0152,4871217,FNLC
"Renaissance Technologies, LLC",160995,2021-09-29,0.0147,4691394,FNLC
Northern Trust Corporation,93932,2021-09-29,0.0085,2737178,FNLC
Morgan Stanley,92406,2021-09-29,0.0084,2692710,FNLC
