Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,5747532,2021-09-29,0.1424,446410810,TRUP
"Vanguard Group, Inc. (The)",3802930,2021-09-29,0.0942,295373573,TRUP
Capital World Investors,2408785,2021-09-29,0.059699999999999996,187090330,TRUP
"Wellington Management Group, LLP",2289529,2021-09-29,0.0567,177827717,TRUP
Nine Ten Capital Management LLC,2045736,2021-09-29,0.0507,158892315,TRUP
Baillie Gifford and Company,1450959,2021-12-30,0.0359,191570116,TRUP
Capital International Investors,1384817,2021-09-29,0.034300000000000004,107558736,TRUP
"AllianceBernstein, L.P.",1314984,2021-09-29,0.0326,102134807,TRUP
State Street Corporation,1196330,2021-09-29,0.0296,92918951,TRUP
"ClearBridge Investments, LLC",1095581,2021-09-29,0.0271,85093776,TRUP
