Holder,Shares,Date Reported,% Out,Value,ABV
Baillie Gifford and Company,6168896,2021-12-30,0.1555,402273708,APPN
"Abdiel Capital Advisors, LP",5281078,2021-09-29,0.1331,488552525,APPN
"Vanguard Group, Inc. (The)",3790601,2021-09-29,0.0955,350668498,APPN
Blackrock Inc.,2908874,2021-09-29,0.0733,269099933,APPN
Morgan Stanley,1346009,2021-09-29,0.0339,124519292,APPN
First Trust Advisors Lp,831620,2021-09-29,0.021,76933166,APPN
State Street Corporation,803229,2021-09-29,0.0202,74306714,APPN
"Geode Capital Management, LLC",678321,2021-09-29,0.0171,62751475,APPN
"Shaw D.E. & Co., Inc.",499716,2021-09-29,0.0126,46228727,APPN
Northern Trust Corporation,392924,2021-09-29,0.009899999999999999,36349399,APPN
