Holder,Shares,Date Reported,% Out,Value,ABV
"Starwood Capital Group Management, LLC",42554179,2021-09-29,0.0965,194472598,MFA
"Vanguard Group, Inc. (The)",41370570,2021-09-29,0.09380000000000001,189063504,MFA
Blackrock Inc.,39215329,2021-09-29,0.0889,179214053,MFA
"FMR, LLC",24782196,2021-09-29,0.0562,113254635,MFA
State Street Corporation,9189402,2021-09-29,0.0208,41995567,MFA
"Arrowstreet Capital, Limited Partnership",7315910,2021-09-29,0.0166,33433708,MFA
Millennium Management LLC,6981811,2021-09-29,0.0158,31906876,MFA
"Geode Capital Management, LLC",6732793,2021-09-29,0.015300000000000001,30768864,MFA
Norges Bank Investment Management,5982420,2020-12-30,0.013600000000000001,23271613,MFA
"Two Sigma Advisers, LP",4836505,2021-09-29,0.011000000000000001,22102827,MFA
