Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",64944380,2021-09-29,0.107,2565952453,VIAC
Blackrock Inc.,44243703,2021-09-29,0.0729,1748068705,VIAC
State Street Corporation,32612933,2021-09-29,0.0538,1288536982,VIAC
"Susquehanna International Group, LLP",18899930,2021-09-29,0.031200000000000002,746736234,VIAC
"Goldman Sachs Group, Inc.",16942613,2021-09-29,0.0279,669402639,VIAC
"Geode Capital Management, LLC",11615650,2021-09-29,0.0191,458934331,VIAC
Bank of America Corporation,10491421,2021-09-29,0.0173,414516043,VIAC
Morgan Stanley,10322806,2021-09-29,0.017,407854065,VIAC
Norges Bank Investment Management,7368207,2020-12-30,0.0121,274539392,VIAC
Northern Trust Corporation,6508007,2021-09-29,0.010700000000000001,257131356,VIAC
