Holder,Shares,Date Reported,% Out,Value,ABV
"American Century Companies, Inc.",7710344,2021-09-29,0.0977,123519710,HTLD
Blackrock Inc.,7539829,2021-09-29,0.0956,120788060,HTLD
"Vanguard Group, Inc. (The)",5084769,2021-09-29,0.0644,81457999,HTLD
Dimensional Fund Advisors LP,2896050,2021-09-29,0.036699999999999997,46394721,HTLD
ArrowMark Colorado Holdings LLC,2278151,2021-09-29,0.028900000000000002,36495979,HTLD
State Street Corporation,1892884,2021-09-29,0.024,30324001,HTLD
"GW&K Investment Management, LLC",1212759,2021-09-29,0.0154,19428399,HTLD
Invesco Ltd.,920335,2021-09-29,0.011699999999999999,14743766,HTLD
"Geode Capital Management, LLC",837480,2021-09-29,0.0106,13416429,HTLD
Millennium Management LLC,714600,2021-09-29,0.0091,11447892,HTLD
