Holder,Shares,Date Reported,% Out,Value,ABV
Tremblant Capital Group,6899773,2021-09-29,0.0605,26288135,LOTZ
Blackrock Inc.,4893656,2021-09-29,0.0429,18644829,LOTZ
"Vanguard Group, Inc. (The)",3538180,2021-09-29,0.031,13480465,LOTZ
"Must Asset Management, Inc.",3503853,2021-09-29,0.030699999999999998,13349679,LOTZ
"Geode Capital Management, LLC",1316240,2021-09-29,0.0115,5014874,LOTZ
State Street Corporation,912639,2021-09-29,0.008,3477154,LOTZ
Taylor Frigon Capital Management LLC,855779,2021-09-29,0.0075,3260517,LOTZ
Truist Financial Corp,805056,2021-09-29,0.0070999999999999995,3067263,LOTZ
Bank of America Corporation,724556,2021-09-29,0.0064,2760558,LOTZ
Northern Trust Corporation,649744,2021-09-29,0.005699999999999999,2475524,LOTZ
