Holder,Shares,Date Reported,% Out,Value,ABV
Dodge & Cox Inc,94120066,2021-09-29,0.3532,4537528381,SNY
"Fisher Asset Management, LLC",17906429,2021-09-29,0.0672,863268942,SNY
"FMR, LLC",16676266,2021-09-29,0.0626,803962783,SNY
Blackrock Inc.,14024970,2021-09-29,0.0526,676143803,SNY
Bank of America Corporation,10233860,2021-09-29,0.0384,493374390,SNY
Price (T.Rowe) Associates Inc,5612381,2021-09-29,0.021099999999999997,270572888,SNY
Invesco Ltd.,5325024,2021-09-29,0.02,256719407,SNY
"Hotchkis & Wiley Capital Management, LLC",4892889,2021-09-29,0.0184,235886178,SNY
Boston Partners,4591184,2021-09-29,0.0172,221340980,SNY
Lazard Asset Management LLC,3205270,2021-09-29,0.012,154526066,SNY
