Holder,Shares,Date Reported,% Out,Value,ABV
"Baker Brothers Advisors, LLC",1499213,2021-09-29,0.0877,119622205,MDGL
Avoro Capital Advisors LLC,1425000,2021-09-29,0.0833,113700750,MDGL
"Vanguard Group, Inc. (The)",1071530,2021-09-29,0.06269999999999999,85497378,MDGL
"Armistice Capital, LLC",1036000,2021-09-29,0.060599999999999994,82662440,MDGL
"Wellington Management Group, LLP",1018018,2021-09-29,0.059500000000000004,81227656,MDGL
Blackrock Inc.,915789,2021-09-29,0.0536,73070804,MDGL
State Street Corporation,758615,2021-09-29,0.0444,60529890,MDGL
"Rock Springs Capital Management, LP",262500,2021-09-29,0.0154,20944875,MDGL
Artisan Partners Limited Partnership,220889,2021-09-29,0.0129,17624733,MDGL
"Geode Capital Management, LLC",202375,2021-09-29,0.0118,16147501,MDGL
