Holder,Shares,Date Reported,% Out,Value,ABV
BVF Inc.,1799694,2021-09-29,0.0717,5021146,GLMD
Ibex Investors LLC,1193100,2021-09-29,0.047599999999999996,3328749,GLMD
"Nantahala Capital Management, LLC",374730,2021-09-29,0.0149,1045496,GLMD
"Raymond James & Associates, Inc.",229640,2021-09-29,0.0092,640695,GLMD
P.A.W. Capital Partners,200000,2021-09-29,0.008,558000,GLMD
Morgan Stanley,164500,2021-09-29,0.0066,458955,GLMD
"Susquehanna International Group, LLP",44583,2021-09-29,0.0018,124386,GLMD
Rockefeller Capital Management L.P.,35419,2021-09-29,0.0014000000000000002,98819,GLMD
Citadel Advisors LLC,28114,2021-09-29,0.0011,78438,GLMD
"Geode Capital Management, LLC",27177,2021-09-29,0.0011,75823,GLMD
