Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",85691385,2021-09-29,0.1253,3636742379,FITB
Blackrock Inc.,53769156,2021-09-29,0.0786,2281962980,FITB
Price (T.Rowe) Associates Inc,47695453,2021-09-29,0.0698,2024195025,FITB
State Street Corporation,34605452,2021-09-29,0.0506,1468655382,FITB
Bank of America Corporation,26095522,2021-09-29,0.0382,1107493953,FITB
Capital World Investors,25255471,2021-09-29,0.0369,1071842189,FITB
Boston Partners,24210522,2021-09-29,0.0354,1027494553,FITB
Invesco Ltd.,18652587,2021-09-29,0.0273,791615792,FITB
JP Morgan Chase & Company,16211849,2021-09-29,0.023700000000000002,688030871,FITB
"Geode Capital Management, LLC",12717426,2021-09-29,0.018600000000000002,539727559,FITB
