Holder,Shares,Date Reported,% Out,Value,ABV
Janney Montgomery Scott LLC,538725,2021-12-30,0.259,1581157,BOSC
"Renaissance Technologies, LLC",285858,2021-09-29,0.1374,1000503,BOSC
GWM Advisors LLC,38865,2021-09-29,0.0187,136027,BOSC
"James Investment Research, Inc.",36565,2021-12-30,0.0176,107318,BOSC
"Susquehanna International Group, LLP",18200,2021-09-29,0.0087,63700,BOSC
Dynamic Advisors Solutions LLC,10000,2021-12-30,0.0048,29350,BOSC
UBS Group AG,396,2021-09-29,0.0002,1386,BOSC
"Advisor Group, Inc.",200,2021-12-30,0.0001,587,BOSC
