Holder,Shares,Date Reported,% Out,Value,ABV
"Gill Capital Partners, LLC",552804,2021-09-29,0.0213,8081994,PMF
Selway Asset Management,360598,2021-09-29,0.0139,5271942,PMF
"Guggenheim Capital, LLC",307141,2021-09-29,0.011899999999999999,4490401,PMF
Royal Bank of Canada,181958,2021-09-29,0.006999999999999999,2660225,PMF
UBS Group AG,165689,2021-09-29,0.0064,2422373,PMF
"Advisor Group, Inc.",148081,2021-09-29,0.005699999999999999,2164944,PMF
Northern Trust Corporation,118999,2021-09-29,0.0046,1739765,PMF
"Traynor Capital Management, Inc.",112370,2021-09-29,0.0043,1642849,PMF
"Avantax Advisory Services, Inc.",106487,2021-09-29,0.0040999999999999995,1556839,PMF
"Commonwealth Equity Services, LLC",102036,2021-09-29,0.0039000000000000003,1491766,PMF
