Holder,Shares,Date Reported,% Out,Value,ABV
State Street Corporation,26168774,2021-09-29,0.008,715192593,BP
Dimensional Fund Advisors LP,14168858,2021-09-29,0.0043,387234889,BP
Blackrock Inc.,14093446,2021-09-29,0.0043,385173879,BP
"Franklin Resources, Inc.",12694364,2021-09-29,0.0039000000000000003,346936968,BP
"Fisher Asset Management, LLC",12635243,2021-09-29,0.0038,345321191,BP
Bank of Montreal/Can/,10399812,2021-09-29,0.0032,284226861,BP
Bank of America Corporation,9237219,2021-09-29,0.0028000000000000004,252453195,BP
Acadian Asset Management. LLC,8528468,2021-09-29,0.0026,233083030,BP
Goldman Sachs Group Inc,8024408,2021-09-29,0.0024,219307070,BP
Menora Mivtachim Holdings Ltd.,7247000,2021-09-29,0.0022,198060510,BP
