Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",20849584,2021-09-29,0.0913,608599356,AXTA
Massachusetts Financial Services Co.,14869870,2021-09-29,0.06509999999999999,434051505,AXTA
Blackrock Inc.,14266152,2021-09-29,0.0625,416428976,AXTA
Boston Partners,14057769,2021-09-29,0.0616,410346277,AXTA
"Shapiro Capital Management Company, Inc.",8824125,2021-09-29,0.038599999999999995,257576208,AXTA
Invesco Ltd.,8294810,2021-09-29,0.0363,242125503,AXTA
JP Morgan Chase & Company,7455261,2021-09-29,0.0326,217619068,AXTA
"Barrow, Hanley Mewhinney & Strauss, LLC",6820827,2021-09-29,0.029900000000000003,199099940,AXTA
"Rivulet Capital, LLC",6504142,2021-09-29,0.0285,189855904,AXTA
"River Road Asset Management, LLC",5886851,2021-12-30,0.0258,194972505,AXTA
