Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,7024377,2021-09-29,0.113,129880730,BANC
"Wellington Management Group, LLP",5148229,2021-09-29,0.0828,95190754,BANC
"PL Capital Advisors, LLC",3401719,2021-09-29,0.0547,62897784,BANC
Dimensional Fund Advisors LP,3222628,2021-09-29,0.0518,59586391,BANC
"Vanguard Group, Inc. (The)",3007395,2021-09-29,0.0484,55606733,BANC
"William Blair Investment Management, LLC",2356558,2021-09-29,0.0379,43572757,BANC
State Street Corporation,2233005,2021-09-29,0.0359,41288262,BANC
"Ranger Investment Management, LP",1810093,2021-09-29,0.0291,33468619,BANC
"Patriot Financial Partners Gp, Lp",1461353,2021-09-29,0.0235,27020416,BANC
FJ Capital Management LLC,1254000,2021-09-29,0.0202,23186460,BANC
