Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",63543789,2021-09-29,0.0859,3657580494,DOW
Blackrock Inc.,44403975,2021-09-29,0.06,2555892801,DOW
Capital World Investors,43098055,2021-09-29,0.0583,2480724045,DOW
State Street Corporation,39049671,2021-09-29,0.0528,2247699062,DOW
Capital International Investors,32237987,2021-09-29,0.0436,1855618531,DOW
"Geode Capital Management, LLC",12255647,2021-09-29,0.0166,705435041,DOW
Morgan Stanley,9060668,2021-09-29,0.0123,521532050,DOW
Northern Trust Corporation,8631206,2021-09-29,0.011699999999999999,496812217,DOW
Capital Research Global Investors,8418847,2021-09-29,0.011399999999999999,484588833,DOW
Norges Bank Investment Management,7246171,2020-12-30,0.0098,402162490,DOW
