Holder,Shares,Date Reported,% Out,Value,ABV
"Leonard Green & Partners, L.P.",27827357,2021-09-29,0.6757,309996756,JOAN
Capital Research Global Investors,2729250,2021-09-29,0.0663,30403845,JOAN
Lord Abbett & Co,1051426,2021-09-29,0.0255,11712885,JOAN
Sun Life Financial Inc.,986883,2021-09-29,0.024,10993876,JOAN
Blackrock Inc.,601606,2021-09-29,0.0146,6701890,JOAN
"Vanguard Group, Inc. (The)",593253,2021-09-29,0.0144,6608838,JOAN
Brown Advisory Inc.,393202,2021-09-29,0.0095,4380270,JOAN
"Kennedy Capital Management, Inc.",360259,2021-09-29,0.0087,4013285,JOAN
"Baird Financial Group, Inc.",340706,2021-09-29,0.0083,3795464,JOAN
Bank of America Corporation,332476,2021-09-29,0.008100000000000001,3703782,JOAN
