Holder,Shares,Date Reported,% Out,Value,ABV
683 Capital Management LLC,3434819,2021-09-29,0.052300000000000006,14048409,IRS
VR Advisory Services Ltd,2137108,2021-09-29,0.0325,8740771,IRS
Macquarie Group Limited,2113446,2021-09-29,0.0322,8643994,IRS
Autonomy Capital (Jersey) L.P.,1554348,2021-09-29,0.023700000000000002,6357283,IRS
Banco BTG Pactual SA,438873,2021-09-29,0.0067,1794990,IRS
City of London Investment Management Co. Limited,348923,2021-09-29,0.0053,1427095,IRS
"Perry Creek Capital, LP",164122,2021-09-29,0.0025,671258,IRS
"Goldman Sachs Group, Inc.",127313,2021-09-29,0.0019,520710,IRS
SEI Investments Co,72961,2021-09-29,0.0011,298410,IRS
"Mirae Asset Global Investments Co., Ltd.",40571,2021-09-29,0.0006,165935,IRS
