Holder,Shares,Date Reported,% Out,Value,ABV
"Clayton, Dubilier & Rice, LLC",205948808,2021-09-29,0.5232,5397918257,AGL
Capital World Investors,31742210,2021-09-29,0.0806,831963324,AGL
"Wellington Management Group, LLP",19063530,2021-09-29,0.0484,499655121,AGL
"FMR, LLC",11301896,2021-09-29,0.0287,296222694,AGL
Blackrock Inc.,8404236,2021-09-29,0.0213,220275025,AGL
Morgan Stanley,7831443,2021-09-29,0.0199,205262121,AGL
"Rock Springs Capital Management, LP",7075000,2021-09-29,0.018000000000000002,185435750,AGL
Durable Capital Partners LP,6446363,2021-09-29,0.016399999999999998,168959174,AGL
"Vanguard Group, Inc. (The)",6131072,2021-09-29,0.015600000000000001,160695397,AGL
Capital Research Global Investors,5720729,2021-09-29,0.014499999999999999,149940307,AGL
