Holder,Shares,Date Reported,% Out,Value,ABV
Canaan Partners X LLC,1733170,2021-09-29,0.0095,967802,ITRM
"New Leaf Venture Partners, L.l.c.",1456303,2021-09-29,0.008,813199,ITRM
"Renaissance Technologies, LLC",644567,2021-09-29,0.0034999999999999996,359926,ITRM
Morgan Stanley,456410,2021-09-29,0.0025,254859,ITRM
"QS Investors, LLC",384200,2021-06-29,0.0021,887502,ITRM
"Franklin Resources, Inc.",384200,2021-09-29,0.0021,214537,ITRM
FineMark National Bank & Trust,300000,2021-09-29,0.0016,167520,ITRM
"Grimes & Company, Inc.",158909,2021-09-29,0.0009,88734,ITRM
Millennium Management LLC,130691,2021-09-29,0.0007000000000000001,72977,ITRM
"Geode Capital Management, LLC",129271,2021-09-29,0.0007000000000000001,72184,ITRM
