Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",151277,2021-09-29,0.0173,502239,PPSI
"Renaissance Technologies, LLC",56187,2021-09-29,0.0064,186540,PPSI
Blackrock Inc.,46348,2021-09-29,0.0053,153875,PPSI
Morgan Stanley,40571,2021-09-29,0.0046,134695,PPSI
Price (T.Rowe) Associates Inc,35800,2021-09-29,0.0040999999999999995,118856,PPSI
"Advisor Group, Inc.",31175,2021-09-29,0.0036,103501,PPSI
"Geode Capital Management, LLC",31065,2021-09-29,0.0036,103135,PPSI
"Susquehanna Fundamental Investments, LLC",22789,2021-09-29,0.0026,75659,PPSI
State Street Corporation,17728,2021-09-29,0.002,58856,PPSI
Dimensional Fund Advisors LP,14488,2021-09-29,0.0017000000000000001,48100,PPSI
