Holder,Shares,Date Reported,% Out,Value,ABV
"Ikarian Capital, LLC",2691110,2021-09-29,0.1384,10414595,TCON
Opaleye Management Inc.,2518371,2021-09-29,0.1295,9746095,TCON
"Altium Capital Management, LP",785341,2021-09-29,0.0404,3039269,TCON
"Vanguard Group, Inc. (The)",694859,2021-09-29,0.035699999999999996,2689104,TCON
"Two Sigma Advisers, LP",367800,2021-09-29,0.0189,1423386,TCON
"NEA Management Company, LLC",346718,2021-09-29,0.0178,1341798,TCON
"Two Sigma Investments, LP",319775,2021-09-29,0.016399999999999998,1237529,TCON
"Renaissance Technologies, LLC",306976,2021-09-29,0.0158,1187997,TCON
Blackrock Inc.,299283,2021-09-29,0.0154,1158225,TCON
Linden Advisors LP,284248,2021-09-29,0.0146,1100039,TCON
