Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,24606017,2021-09-29,0.0974,1133845263,WTRG
"Vanguard Group, Inc. (The)",23674015,2021-09-29,0.09369999999999999,1090898611,WTRG
Canada Pension Plan Investment Board,21661095,2021-09-29,0.0857,998143257,WTRG
State Street Corporation,11969751,2021-09-29,0.047400000000000005,551566126,WTRG
Impax Asset Management Group Plc,5531290,2021-09-29,0.0219,254881843,WTRG
Pictet Asset Management SA,4415290,2021-09-29,0.0175,203456563,WTRG
Norges Bank Investment Management,4356550,2020-12-30,0.0172,206021249,WTRG
Invesco Ltd.,3608852,2021-09-29,0.0143,166295900,WTRG
Amundi,3070793,2021-09-29,0.0121,141502141,WTRG
Northern Trust Corporation,2826709,2021-09-29,0.011200000000000002,130254750,WTRG
