Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,4190346,2021-09-29,0.152,318131068,MANT
"Vanguard Group, Inc. (The)",3097437,2021-09-29,0.1124,235157417,MANT
Earnest Partners LLC,1679018,2021-09-29,0.060899999999999996,127471046,MANT
JP Morgan Chase & Company,1616927,2021-09-29,0.0587,122757097,MANT
Dimensional Fund Advisors LP,1605299,2021-09-29,0.0582,121874300,MANT
Brown Advisory Inc.,1079324,2021-09-29,0.0392,81942278,MANT
State Street Corporation,952099,2021-09-29,0.0345,72283356,MANT
Janus Henderson Group PLC,805332,2021-09-29,0.0292,61140805,MANT
Victory Capital Management Inc.,761593,2021-09-29,0.0276,57820140,MANT
"Channing Capital Management, LLC",710586,2021-09-29,0.0258,53947689,MANT
