Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,14181700,2021-09-29,0.1478,193296571,FCF
"Vanguard Group, Inc. (The)",10269312,2021-09-29,0.107,139970722,FCF
Dimensional Fund Advisors LP,6263947,2021-09-29,0.0653,85377597,FCF
State Street Corporation,4304390,2021-09-29,0.0449,58668835,FCF
JP Morgan Chase & Company,2157943,2021-09-29,0.0225,29412763,FCF
"Charles Schwab Investment Management, Inc.",1921904,2021-09-29,0.02,26195551,FCF
"Geode Capital Management, LLC",1655003,2021-09-29,0.0173,22557690,FCF
Northern Trust Corporation,1469784,2021-09-29,0.015300000000000001,20033155,FCF
Bank Of New York Mellon Corporation,1399630,2021-09-29,0.0146,19076956,FCF
Fuller & Thaler Asset Management Inc.,1300735,2021-09-29,0.013600000000000001,17729018,FCF
