Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",8639670,2021-09-29,0.1167,1417424260,JKHY
Blackrock Inc.,7331197,2021-09-29,0.099,1202756179,JKHY
State Street Corporation,3206036,2021-09-29,0.0433,525982266,JKHY
Kayne Anderson Rudnick Investment Management LLC,2917253,2021-09-29,0.0394,478604527,JKHY
"CIBC Private Wealth Group, LLC",1932902,2021-09-29,0.026099999999999998,317111902,JKHY
"Geode Capital Management, LLC",1535552,2021-09-29,0.0207,251922661,JKHY
"Parnassus Investments, LLC",1449274,2021-09-29,0.0196,237767892,JKHY
Wells Fargo & Company,1414382,2021-09-29,0.0191,232043510,JKHY
Sarasin & Partners LLP,1387999,2021-09-29,0.0187,227715115,JKHY
Capital World Investors,1355680,2021-09-29,0.0183,222412860,JKHY
