Holder,Shares,Date Reported,% Out,Value,ABV
Van Eck Associates Corporation,32530854,2021-09-29,0.1082,214703636,EQX
"Vanguard Group, Inc. (The)",7763267,2021-09-29,0.0258,51237562,EQX
Sprott Inc.,4682618,2021-09-29,0.015600000000000001,30905278,EQX
Invesco Ltd.,4422023,2021-09-29,0.0147,29185351,EQX
Smith (Donald) & Company Inc.,3557842,2021-09-29,0.0118,23481757,EQX
Shell Asset Management Company,2758778,2021-09-29,0.0092,18207934,EQX
"Paulson & Company, Inc.",2500000,2021-09-29,0.0083,16500000,EQX
Norges Bank Investment Management,2459286,2020-12-30,0.008199999999999999,25429017,EQX
"Russell Investments Group, Ltd.",1791765,2021-09-29,0.006,11825649,EQX
"Susquehanna International Group, LLP",1741337,2021-09-29,0.0058,11492824,EQX
