Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,11333606,2021-09-29,0.15689999999999998,483378295,HI
"Vanguard Group, Inc. (The)",8131043,2021-09-29,0.11259999999999999,346788983,HI
Clarkston Capital Partners LLC,5566339,2021-09-29,0.0771,237404358,HI
Victory Capital Management Inc.,2541507,2021-09-29,0.0352,108395273,HI
State Street Corporation,2354761,2021-09-29,0.0326,100430556,HI
Lsv Asset Management,1803989,2021-09-29,0.025,76940130,HI
Dimensional Fund Advisors LP,1235636,2021-09-29,0.0171,52699875,HI
Bernzott Capital Advisors,1178470,2021-09-29,0.0163,50261745,HI
"Geode Capital Management, LLC",1171703,2021-09-29,0.016200000000000003,49973132,HI
"Principal Financial Group, Inc.",1128567,2021-09-29,0.015600000000000001,48133382,HI
