Holder,Shares,Date Reported,% Out,Value,ABV
Shah Capital Management,11604104,2021-12-30,0.1664,69160459,SOL
Invesco Ltd.,7452015,2021-09-29,0.10679999999999999,48959738,SOL
State Street Corporation,1637652,2021-09-29,0.0235,10759373,SOL
Marshall Wace Asia Ltd,662804,2021-09-29,0.0095,4354622,SOL
JP Morgan Chase & Company,411054,2021-09-29,0.0059,2700624,SOL
Millennium Management LLC,382942,2021-09-29,0.0055000000000000005,2515928,SOL
First Trust Advisors Lp,353442,2021-09-29,0.0051,2322113,SOL
Blackrock Inc.,342183,2021-09-29,0.0049,2248142,SOL
Morgan Stanley,199852,2021-09-29,0.0029,1313027,SOL
Gsa Capital Partners Llp,173853,2021-09-29,0.0025,1142214,SOL
