Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",42715132,2021-09-29,0.0817,2904201824,DD
Blackrock Inc.,36093764,2021-09-29,0.069,2454015014,DD
State Street Corporation,27417481,2021-09-29,0.0524,1864114533,DD
"FMR, LLC",15609917,2021-09-29,0.0298,1061318256,DD
Massachusetts Financial Services Co.,14629283,2021-09-29,0.027999999999999997,994644951,DD
Boston Partners,12602808,2021-09-29,0.0241,856864915,DD
"Geode Capital Management, LLC",8787856,2021-09-29,0.0168,597486329,DD
Norges Bank Investment Management,8779826,2020-12-30,0.0168,624333426,DD
Macquarie Group Limited,8769813,2021-09-29,0.0168,596259585,DD
Nuveen Asset Management,7852649,2021-09-29,0.015,533901605,DD
