Holder,Shares,Date Reported,% Out,Value,ABV
Dodge & Cox Inc,112006256,2021-09-29,0.053200000000000004,570111843,AEG
"Private Management Group, Inc.",5346102,2021-09-29,0.0025,27211659,AEG
Parametric Portfolio Associates,5047517,2021-09-29,0.0024,25691861,AEG
Blackrock Inc.,4604792,2021-09-29,0.0022,23438391,AEG
"Raymond James & Associates, Inc.",4026051,2021-09-29,0.0019,20492599,AEG
"Goldman Sachs Group, Inc.",3430485,2021-09-29,0.0016,17461168,AEG
Dimensional Fund Advisors LP,3089968,2021-09-29,0.0015,15727937,AEG
Grace & White Inc /ny,1997636,2021-09-29,0.0009,10167967,AEG
Optiver Holding B.v.,1798338,2021-09-29,0.0009,9153540,AEG
Brandes Investment Partners L.P.,1735953,2021-09-29,0.0008,8836000,AEG
