Holder,Shares,Date Reported,% Out,Value,ABV
Marathon Asset Management LLP,2811151,2021-12-30,0.09210000000000002,50432048,UPLD
Blackrock Inc.,1857864,2021-12-30,0.060899999999999996,33330080,UPLD
CDAM (UK) Ltd,1648887,2021-09-29,0.054000000000000006,55138781,UPLD
Wasatch Advisors Inc,1627004,2021-09-29,0.0533,54407013,UPLD
"Vanguard Group, Inc. (The)",1393858,2021-09-29,0.045700000000000005,46610611,UPLD
"P2 Capital Partners, LLC",1165000,2021-09-29,0.0382,38957600,UPLD
New South Capital Management Inc,1126692,2021-12-30,0.0369,20212854,UPLD
Bernzott Capital Advisors,1091921,2021-12-30,0.0358,19589062,UPLD
State Street Corporation,696537,2021-09-29,0.022799999999999997,23292197,UPLD
"William Blair Investment Management, LLC",594993,2021-09-29,0.0195,19896565,UPLD
