Holder,Shares,Date Reported,% Out,Value,ABV
"Empirical Financial Services, LLC d/b/a Empirical Wealth Management",225931,2021-12-30,0.1636,22608915,OZ
Belpointe Asset Management LLC,112072,2021-12-30,0.08109999999999999,11215045,OZ
AE Wealth Management LLC,104909,2021-12-30,0.076,10498243,OZ
"United Asset Strategies, Inc.",93969,2021-12-30,0.068,9403477,OZ
"Precision Wealth Strategies, LLC",78097,2021-12-30,0.0565,7815166,OZ
Lincoln National Corp,55000,2021-12-30,0.0398,5503850,OZ
Bank Of New York Mellon Corporation,28900,2021-12-30,0.0209,2892023,OZ
Wealth Alliance,28474,2021-12-30,0.0206,2849393,OZ
"Renaissance Technologies, LLC",28343,2021-12-30,0.020499999999999997,2836284,OZ
"Lloyd Advisory Services, LLC.",17158,2021-12-30,0.0124,1717001,OZ
