0,1,ABV
Net Assets,,ENBA
NAV,,ENBA
PE Ratio (TTM),,ENBA
Yield,,ENBA
YTD Daily Total Return,,ENBA
Beta (5Y Monthly),,ENBA
Expense Ratio (net),,ENBA
Inception Date,,ENBA
