Holder,Shares,Date Reported,% Out,Value,ABV
Dimensional Fund Advisors LP,1430192,2021-09-29,0.049100000000000005,20780689,TNK
"Ameriprise Financial, Inc.",1376171,2021-09-29,0.0473,19995764,TNK
Blackrock Inc.,1244122,2021-09-29,0.042699999999999995,18077092,TNK
"Russell Investments Group, Ltd.",410247,2021-12-30,0.0141,4471692,TNK
State Street Corporation,309890,2021-09-29,0.0106,4502701,TNK
"Charles Schwab Investment Management, Inc.",302104,2021-09-29,0.0104,4389571,TNK
Northern Trust Corporation,286207,2021-09-29,0.0098,4158587,TNK
Morgan Stanley,272829,2021-09-29,0.009399999999999999,3964205,TNK
Amitell Capital Pte Ltd,271685,2021-09-29,0.009300000000000001,3947583,TNK
JP Morgan Chase & Company,211081,2021-09-29,0.0073,3067006,TNK
