Holder,Shares,Date Reported,% Out,Value,ABV
Shaolin Capital Management LLC,1220474,2021-09-29,0.061,11875212,TCAC
"Aristeia Capital, LLC",1038023,2021-09-29,0.0519,10099963,TCAC
Marshall Wace LLP,861251,2021-09-29,0.0431,8379972,TCAC
"Castle Creek Arbitrage, LLC",851460,2021-09-29,0.0426,8284705,TCAC
"Alyeska Investment Group, L.P.",800000,2021-09-29,0.04,7784000,TCAC
Periscope Capital Inc.,771800,2021-09-29,0.038599999999999995,7509614,TCAC
Polar Asset Management Partners Inc.,700000,2021-09-29,0.035,6811000,TCAC
"CVI Holdings, LLC",700000,2021-09-29,0.035,6811000,TCAC
Goldman Sachs Group Inc,626819,2021-09-29,0.0313,6098948,TCAC
Park West Asset Management LLC,500000,2021-09-29,0.025,4865000,TCAC
