Holder,Shares,Date Reported,% Out,Value,ABV
BAMCO Inc.,4145038,2021-09-29,0.0919,81823050,AFYA
"Ameriprise Financial, Inc.",2695545,2021-09-29,0.059800000000000006,53210058,AFYA
"Jackson Square Partners, Llc",1990130,2021-09-29,0.0441,39285166,AFYA
Artisan Partners Limited Partnership,1928326,2021-09-29,0.042699999999999995,38065155,AFYA
Oaktree Capital Management Lp,1651812,2021-09-29,0.0366,32606768,AFYA
"Russell Investments Group, Ltd.",1403075,2021-09-29,0.0311,27696700,AFYA
Credit Suisse AG,1273952,2021-09-29,0.0282,25147812,AFYA
"FMR, LLC",1229367,2021-09-29,0.0273,24267704,AFYA
Pictet Asset Management SA,1095883,2021-09-29,0.024300000000000002,21632730,AFYA
Blackrock Inc.,944348,2021-09-29,0.0209,18641429,AFYA
