Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,4000000,2021-12-30,0.1333,39400000,OHPAU
"Viking Global Investors, L.P.",3669272,2021-12-30,0.1223,36142329,OHPAU
Texas - Teacher Retirement System,2990000,2021-12-30,0.09970000000000001,29451500,OHPAU
Maverick Capital Ltd.,2672349,2021-12-30,0.0891,26322637,OHPAU
"Iron Triangle Partners, LP",1006229,2021-12-30,0.0335,9911355,OHPAU
"Rock Springs Capital Management, LP",1000000,2021-12-30,0.0333,9850000,OHPAU
"Aristeia Capital, LLC",954600,2021-09-29,0.0318,9445767,OHPAU
"Wellington Management Group, LLP",891654,2021-12-30,0.0297,8782791,OHPAU
Price (T.Rowe) Associates Inc,830786,2021-12-30,0.0277,8183242,OHPAU
"Sachem Head Capital Management, LP",500000,2021-12-30,0.0167,4925000,OHPAU
