Holder,Shares,Date Reported,% Out,Value,ABV
State Street Corporation,1035859,2021-09-29,0.011699999999999999,2413551,CBAT
JP Morgan Chase & Company,982009,2021-09-29,0.0111,2288080,CBAT
First Trust Advisors Lp,683592,2021-09-29,0.0077,1592769,CBAT
"Renaissance Technologies, LLC",639628,2021-09-29,0.0072,1490333,CBAT
Morgan Stanley,336613,2021-09-29,0.0038,784308,CBAT
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd",232259,2021-09-29,0.0026,541163,CBAT
"Susquehanna International Group, LLP",226493,2021-09-29,0.0026,527728,CBAT
Citadel Advisors LLC,178369,2021-09-29,0.002,415599,CBAT
"Susquehanna Fundamental Investments, LLC",126768,2021-09-29,0.0014000000000000002,295369,CBAT
"Jane Street Group, LLC",95843,2021-09-29,0.0011,223314,CBAT
